Taxon,BasidiosporeType,BasidiosporeShape,BasidiosporeApex,BasidiosporeLength,BasidiosporeWidth,Qvalue,BasidiosporeOrnamentation,BasidiaShape,BasidiaLength,BasidiaWidth,BasidiaSpored,CheilocystidiaPresence,CheilocystidiaShape,CheilocystidiaLength,CheilocystidiaWidth,CheilocystidiaOxalateCrystals,CheilocystidiaWallThickness,CheilocystidiaAmmoniacalTest,ParacystidiaPresence,ParacystidiaShape,ParacystidiaLength,ParacystidiaWidth,PleurocystidiaPresence,PleurocystidiaShape,PleurocystidiaLength,PleurocystidiaWidth,PleurocystidiaOxalateCrystals,PleurocystidiaWallThickness,PleurocystidiaAmmoniacalTest,ApexCaulocystidiaPresence,ApexCaulocystidiaShape,ApexCaulocystidiaLength,ApexCaulocystidiaWidth,ApexCaulocystidiaOxalateCrystals,ApexCaulocystidiaWallThickness,ApexCaulocystidiaAmmoniacalTest,MedianCaulocystidiaPresence,MedianCaulocystidiaShape,MedianCaulocystidiaLength,MedianCaulocystidiaWidth,MedianCaulocystidiaOxalateCrystals,MedianCaulocystidiaWallThickness,MedianCaulocystidiaAmmoniacalTest,Cauloparacystidia,MacroChemical,Habitat,TreesUnder,PileusDiameterX,PileusDiameterY,BaseOfTheStipe,HydrogenPotential,Sosie,Odor,Subgenera,Section,Subsection,DistinctiveFeatures1,ReferencesSources1,DistinctiveFeatures2,ReferencesSources2,DistinctiveFeatures3,ReferencesSources3
albovelutipes Stangl,Leiospora,Subamygdaliform,Subconical,[8-10],[4.5-6],[1.6-1.9],Smooth,Claviform,[25-38],[7-10],[4-4],Yes,Cylindrical | Claviform | Subfusiform | Subutriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform | Cylindrical,n/a,n/a,Yes,Cylindrical | Claviform | Subfusiform | Subutriform | Metuloid,[42-74],[11-19],Yes,[0.5-1],n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Sandy soil,Oak | Beech | Pine,[30-50],[30-50],Not bulbous,n/a,n/a,Faint | Subspermatic,Inocybe,,,"Inocybe albovelutipes comes very close to I. monochroa J. Favre (see p. 119). On account of differences in spores and cystidial characters both taxa are accepted as autonomous species, but more material might well indicate that they are merely infraspecific taxa of one species. See also comments under I. subnudipes Kuehner (p. 235).","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 118-119",,,,
alnea Stangl,Goniospora,Little gibbose,Conical | Subconical,[8-11],[6.8-8],n/a,Angular | Nodulose,Claviform,[29-38],[9-12],[4-4],Yes,Lageniform | Fusiform | Metuloid,[42-70],[12-20],Yes | Sparse,[1.5-2],n/a,n/a,n/a,n/a,n/a,Yes,Fusiform | Subfusiform | Metuloid,[48-72],[13-21],Yes | Sparse,[1.5-2],n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Claviform | Subcylindrical | Metuloid,[43-70],[15-21],Yes | Sparse,n/a,n/a,n/a,n/a,Soil | Ground,Alder,[10-30],[10-30],Marginate bulbous,n/a,n/a,Spermatic,Clypeus,,,"Inocybe alnea possiede spore piu piccole e meno gibbose di Inocybe praetervisa, non raggiunge e finora mai la sua grandezza e stata notata solo sotto Alnus incana. Il giorno 14.08.1987 - MTB 7631, - abbiamo osservato ad Augsburg sotto un gruppo di ontani di ca. 15-20 anni su terreno fangoso misto di humus ed erba sei carpofori, fatto che comprova la sua presenza in parchi piccoli o vecchi con presenza di ontani.","Stangl, Johann. Guida alla determinazione dei funghi Vol. 3 ; Inocybe, Saturnia 1991, 437 p.; p. 236-237",,,,
amblyspora Kuehner,Leiospora,Subamygdaliform,Obtuse | Subconical,[7.5-9.5],[4.5-5.5],[1.5-2],Smooth,Claviform,[22-28],[7-9],[4-4],Yes,Cylindrical | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Metuloid,[46-70],[12-18],Yes,[1-1.5],n/a,Yes,Cylindrical | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,Ground,Frondose | Conifers,[25-62],[25-62],Marginate bulbous,n/a,oblectabilis,Subspermatic,Inocybe,,,"1) The macroscopical description has been copied from Kuehner (in Bull. Soc. Nat. Oyonnax 9 (Suppl.) : 18. 1955) and Malencon & Bertault (Fl. Champ. sup. Maroc 1 : 402. 1970). 2) Inocybe amblyspora resembles I. oblectabilis (Britz.) Sacc. very much in ots macroscopical characters radially rimulose pileus and smaller spores, I. pseudoreducta Stangl & Glowinski has broader cystidia with a thicker wall and a somewhat smaller bulb. The differences between I. amblyspora and I. pseudoreducta are rather small, however, and more material is needed for a better judgement about their taxonomic status. I failed to note any significant difference in the protologue of I. tristis Mal. & Bert. except for the well-developed velipellis, but this character rarely has taxonomic significance.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 188-189",,,,
amethystina Kuyper,Leiospora,Subamygdaliform,Conical | Papilla,[8-11.5],[5-6.5],[1.5-2],Smooth,Claviform,[25-32],[8-10],[4-4],Yes,Sublageniform | Cylindrical | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Pyriform | Claviform,n/a,n/a,Yes,Sublageniform | Cylindrical | Metuloid,[58-88],[14-21],Yes,[1-2],n/a,Yes,Sublageniform | Cylindrical | Metuloid,n/a,n/a,Yes,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,Yes,n/a,Calcareous soil,Spruce | Pine | Birch | Oak | Basswood,[12-40],[12-40],Equal,n/a,n/a,Spermatic | Pelargonium,Inocybe,,,"1) Inocybe amethystina Kuyp. differs from I. phaeocomis (Pers.) Kuyp. in having a smoother pileus with reddish brown tinges, a smoother stipe without brown squamules, and pleurocystidia that are more distinctly (sub)lageniform. Inocybe pusio P. Karst. differs in having a distinctly pruinose stipe apex, a rimulose pileal margin and colourless pleurocystidia. 2) This species has been called I. obscuroides P.D. Orton, but a study of the type-collection of the latter species (in K) revealed that I. obscuroides is only a variant of I. phaeocomis. However, Orton (in Trans. Br. mycol. Soc. 43 : 276. 1960) was correct when he asserted that I. obscura sensu Konr. & M. was a misapplication, and that a second species besides I. phaeocomis exists with a more smooth pileus and stipe. 3) Inocybe obscura as described by Stuntz (in Mycologia 39 : 40. 1947) probably refers to I. amethystina. Stuntz too referred to the similarity with I. obscura var. purpurea R. Heim.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 135-138",,,,
"amicta Kokkonen & Vauras, sp. nov.",Goniospora,Strongly nodulose,Subconical | Conical,[7.2-10.4],[5.5-7.6],[1.2-1.7],Nodules usually medium-sized to rather large,Claviform,[22-33],[9-12],[4-4],Yes,Lageniform | Utriform | Cylindrical | Fusiform | Metuloid,n/a,n/a,Yes | No,n/a,n/a,Yes,n/a,n/a,n/a,Yes,Lageniform | Utriform | Cylindrical | Fusiform | Metuloid,[42-74],[12-24],Yes,[2-3],n/a,Yes,Subfusiform | Cylindrical | Flexuose | Metuloid,n/a,n/a,Yes | No,[1-2],n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,n/a,Sandy soil,Birch | Spruce | Pine,[11-38],[11-38],Round | Tapering,n/a,n/a,Spermatic | Acidulous | Not distinctive,Clypeus,,,"The most distinctive feature of Inocybe amicta is the white cover of the stipe. Otherwise, it can be macroscopically quite variable. The ITS sequences of five I. amicta specimens were otherwise identical (JR&JV7015 in the phylogram - GenBank JN580861), but there was a gap of three bases in the holotype sequence, and one different base in KK45/10 (JN580860). Inocybe amicta is closely related to I. silvae-herbaceae. The ITS sequences of the holotypes of these two species differed only by 14 bases and 4 insertions/deletions (1 base in length). These species also microscopically resemble each other. However, I. amicta typically has thicker walls in its hymenial cystidia with distinct thickenings at the neck, and does not have as multiform caulocystidia as I. silvae-herbaceae. Inocybe putilla Bres., which is a southern species in Finland and probably mycorrhizal with Quercus robur, resembles I. amicta, for example, in its pale stipe cover and some microscopic features (see Additional type studies, Fig. 33b). However, the ITS sequence of a typical Finnish I. putilla collection (Turku, Ruissalo, KK&JV23972, GenBank JN580862) deviated greatly from the I. amicta sequences.","Kokkonen, Katri; Vauras, Jukka. Eleven new boreal species of Inocybe with nodulose spores, Mycol Progress (2012) 11:299-341; p. 323-325",,,,
apiosmota Grund & D.E. Stuntz,Leiospora,Phaseoliform,Obtuse | Subconical,[10-14.5],[5.5-8],n/a,Smooth,Claviform,[38-47],[12-17],[2-4],Yes,Claviform,[40-50],[12-17],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindrical | Fusoid,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Gravel | Humus | Swamp,Mixed,[20-35],[20-35],Equal,n/a,n/a,Pears,,,,"As far as we are aware, there is only one other smooth-spored Inocybe lacking pleurocystidia with odor of ripe pears. This is I. bongardii (Weinm.) Quel., which differs from our species in its much paler colors, less scaly pileus, nonscaly stipe, and strongly rubescent flesh. In fact, I. apiosmota has much more the appearance of I. hirsuta (Lasch) Quel., or I. calamistrata (Fr.) Gill. than of I. bongardii.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes III., Mycologia, vol. 67, 1975; p. 21-22",,,,
appendiculata Kuehner,Leiospora,Subamygdaliform,Subconical,[7.5-11.5],[5-6.5],[1.4-1.8],Smooth,Claviform,[24-35],[8-11],[4-4],Yes,Claviform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Pyriform | Claviform,n/a,n/a,Yes,Claviform | Metuloid,[33-58],[14-23],Yes,[1.5-2],n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Spruce | Oak | Blue-beech,[6-40],[6-40],Not bulbous,n/a,n/a,Spermatic,Inocybe,,,"1) The thickness and the rigidity of the velipellis exert an important influence on the colour of the pileus and the appendiculate margin. Under exposed conditions the velipellis is rigid and at margin only slightly appenduculate-dentale. This character has been observed in the very rich collections from the Roggebotzand where also all transitions towards ""typical"" I. appendiculata have been found. No autonomous status can therefore be given to taxa such as I. ovoideicystis Metrod and I. pedemontana. 2) Inocybe ochroleuca J. Favre in Ergebn. Wiss. Unters. Schweiz. NatParks, N.F. 5 : 201 (1955) comes in its microscopical characters very close to I. appendiculata but seems macroscopically different, judging from Favre's description. It might be, however, only a depauperate variant of I. appendiculata. Additional collections of this taxon are necessary for a better assessment of its systematic status. 3) As I was unable to dertermine the dates of effective publication of I. appendiculata and I. piricystis, I have assumed that Kuehner publication appeared earlier than Favre's.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 75-77",,,,
arenicola var. arenicola (R. Heim) Bon,Leiospora,Regular | Subphaseoliform,Obtuse | Subconical,[11.5-18],[6-9],[1.6-2.5],Smooth,Claviform,[33-50],[11-15],[4-4],Yes,Cylindrical | Subutriform | Flexuose,[42-105],[9-20],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindrical | Subutriform | Flexuose,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Dune-sand,Willow | Poplar | Pine,[24-68],[24-68],Subbulbous,n/a,n/a,Not distinctive,Inosperma,Rimosae,,"1) The behaviour of the velipellis with age shows some variation. In some specimens it persists and consequently the pileus remains pure white ; in other specimens it is somewhat thinner and soon disappears from the outer half, and the pileus becomes pchraceous yellow with age. However, both variants occur together and probably represent only a phenotypical modification. 2) On rather moist places in the dunes, associated with Salix repens, occurs a variant of I. rimosa (Bull. : Fr.) Kumm. which differs from I. arenicola in being less robust, having a fulvous brown pileus under the velipellis, a more  distinctly flocculose stipe apex, and a rather strong smell. So far intermediates have not been found.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 56-57",,,,
arenicola var. mediterranea Kuyper,Leiospora,Regular,Obtuse | Subconical,[12-16],[6-7],[1.8-2.2],Smooth,Claviform,[36-44],[11-14],[4-4],Yes,Claviform,[36-57],[13-26],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Claviform,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Dune-sand,Pine,[24-68],[24-68],Not bulbous,n/a,n/a,Not distinctive,Inosperma,Rimosae,,"Besides by the clavate cheiloystidia Inocybe arenicola var. mediterranea differs from var. arenicola in having a somewhat darker, more brownish-coloured pileus. More information on the distribution of both varieties is needed to ascertain whether both taxa are geographically isolated.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 57-58",,,,
asterospora Quel.,Goniospora,"Starry, long lumpy protuberances",Conical | Subconical,[9-12.5],[8.5-10],[1.1-1.4],Long bumpy protuberances,Claviform,[28-38],[9-12],[4-4],Yes,Fusiform | Fusiform | Metuloid,[40-65],[16-22],Yes,[2.5-3],n/a,n/a,n/a,n/a,n/a,Yes,Fusiform | Metuloid,[45-75],[14-22],Yes | Sparse,[2.2-2.5],n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Fusiform | Pyriform | Metuloid,[40-70],[12-20],Yes | Sparse | No,[1.2-1.5],n/a,n/a,n/a,Calcareous soil,Beech | Oak,[7-25],[7-25],Marginate bulbous,n/a,n/a,Spermatic,Clypeus,,,n/a,"Stangl, Johann. Guida alla determinazione dei funghi Vol. 3 ; Inocybe, Saturnia 1991, 437 p.; p. 242-244",,,,
auricoma (Batsch) Sacc.,Leiospora,Subamygdaliform,Subconical,[8-9.5],[4.5-5.5],[1.5-2],Smooth,Claviform,[23-33],[7-10],[4-4],Yes,Fusiform | Subutriform | Claviform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Spheropedunculate | Pyriform,n/a,n/a,Yes,Fusiform | Subutriform | Claviform | Metuloid,[40-63],[12-22],Yes,[2.5-4],n/a,Yes,Fusiform | Subutriform | Claviform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,Yes,n/a,Moist soil,Oak | Alder | Spruce,[10-24],[10-24],Not bulbous,n/a,n/a,Spermatic,Inocybe,,,"1) Judging from the description and a study of the isotype (United States, New Jersey, Newfield, IX.1888, L.), Inocybe pallidipes Ell. & Ev. (in J. Mycol. 5 : 24 (1889)) comes extremely close to (or may be even identical with) I. auricoma. The main difference between both taxa is the colour of the pileus, being pale brown in I. pallidipes and ochraceous yellow in I. auricoma. Well-annotated collections of I. pallidipes are needed for a more definite conclusion regarding its autonomy. 2) Inocybe auricoma differs from I. posterula (Britz.) Sacc. in small habit, somewhat brighter and smoother pileus and slightly more yellow-coloured pleurocystidia. There is also some resemblance of I. auricoma with yellow-coloured variants of I. flocculosa (Berk.) Sacc., but the latter taxon can be recognised by its lageniform cystidia, more squamulose pileus and somewhat less contrasting white stipe.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 145-146",,,,
aurora Grund & D.E. Stuntz,Leiospora,Subreniform,Obtuse,[10-12.5],[5.5-6.5],n/a,Smooth,Claviform,[30-36],[10-11],[4-4],Yes,Claviform,[45-60],[11-20],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Claviform | Vesiform,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Spruce | Hemlock,[25-45],[25-45],Bulbous,n/a,n/a,Green-corn,,,,"The specific epithet, aurora = dawn, refers to the pallid pinkish cast of the pileus. We know of no other Inocybe with just the combination of features (pink-tinged pileus and complex aromatic odor) that characterizes I. aurora. There are several white or pallid species in the ""fastigiata complex"", but they differ in color as well as other characteristics. It is possible that our species is related to I. lanatodisca Kauffm., in spite of the striking difference in color of pilei. The odors of the two species are similar, their microscopical features do not differ markedly ; and while the pileus of lanatodisca is normally reddish twany, it is occasionally much paler, in fact, the color is rather close to ""Cinnamon-Buff"". In such instances, white silky patches on the pileal disk should indicate I. lanatodisca rather than I. aurora.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes III., Mycologia, vol. 67, 1975; p. 24-25",,,,
aurora var. inodorata Grund & D.E. Stuntz,Leiospora,Inequilaterally | Amygdaliform | Subphaseoliform,Obtuse | Conical | Subconical,[10-14.5],[5.5-7],n/a,Smooth,Claviform,n/a,n/a,n/a,Yes,Versiform | Claviform,[30-57],[8-22],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Versiform | Claviform,[46-82],[10-20],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Conifers | Hardwoods,[10-40],[10-40],Not bulbous,n/a,n/a,Not distinctive,,,,"We do not know if the characteristic odor I. aurora var. aurora is a constant feature, so think it best to put these odorless specimens on record as a variety. In outward appearance as well as in microscopical features the two varieties are indistinguishable.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VII., Mycologia, vol. 75, 1983; p. 257-259",,,,
bakeri Peck,Leiospora,Elliptical,Obtuse,[11-15],[5-7],n/a,Smooth,Claviform,[31-39],[10-11],[4-4],Yes,Fusiform-ventricose | Metuloid,[52-65],[17-20],Yes | Sparse,[1-1.5],n/a,n/a,n/a,n/a,n/a,Yes,Fusiform-ventricose | Metuloid,[64-80],[16-23],Yes | Sparse,[1-1.5],n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Known only from California,Oak,[25-55],[25-55],Slightly enlarging towards the base,n/a,n/a,n/a,,,,"This is a poorly known species that we redescribe and illustrate here based on our studies from fresh material and the holotype. This species appears to be relatively rare, and we know of only a
handful of collections that represent it. In addition to the two collections cited above Nishida (1989) reports I. bakeri from southern California. Thus far I. bakeri is known only from southern California where it associates with Quercus sp. and fruits in late winter and spring. Inocybe bakeri is a relatively robust species that is characterized mainly by its large basidiospores, and Peck's protolog describes the stipe as ""more or less radicating"". The caulocystidiate nature of the stipe surface appears to be variable. In her key to species of Inocybe from California Nishida (1989) places I. bakeri in two different places, once in subsection ""Holoconiatae"" and another time in subsection ""Acroconiatae"" reflecting the variation in this character. Our examination of the holotype for the species indicated that no caulocystidia are present on the lower half of the stipe although a few caulocystidiate hairs were present at the middle of the stipe. Yet the second specimen (ST-02-077-01) studied had scarce but distinct caulocystidia present at the base of the stipe. In spite of this difference the two collections are very similar in all other regards and at the moment we regard them as the same species. The European species, I. inodora Velen., differs from I. bakeri by its nonradicating stipe and somewhat smaller spores.","Kropp, Bradley R.; Matheny, P. Brandon,; Nanagyulyan, Siranush G. Phylogenetic taxonomy of the Inocybe splendens group and evolution of supersection ""Marginatae"", Mycologia, 102(3), 2010, pp. 560-573 ; p.571-572",,,,
bongardii var. bongardii (Weinm.) Quel.,Leiospora,Subphaseoliform,Obtuse,[11-16.7],[6-9],[1.4-2.1],Smooth,Claviform,[39-51],[10-13],[4-4],Yes,Cylindrical | Claviform,[42-69],[10-18],No,[0.5-1.5],n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindrical | Claviform,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Beech | Oak | Blue-beech |Spruce | Hazel,[11-45],[11-45],Subbulbous,n/a,n/a,Flowers | Pears | Not distinctive,Inosperma,Cervicolores,,Odourless variants are at the same time characterised by the (almost) lack of refractive hyphae in the hymenophoral trama and the not or only slightly reddening context.,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 40-41",,,,
bongardii var. pisciodora (Donadini & Riousset) Kuyper,Leiospora,Regular | Subphaseoliform,Obtuse,[12-16.7],[6.5-8.7],[1.7-2.1],Smooth,Claviform,[37-59],[10-14],[4-4],Yes,Cylindrical | Claviform | Utriform,[33-77],[8-22],No,[0.5-1.5],n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindrical | Claviform | Utriform,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Oak | Spruce | Pine,[15-42],[15-42],Attenuate,n/a,n/a,Pelargonium | Fishy | Not distinctive,Inosperma,Cervicolores,,"1) Vernal variants from the Mediterranean Region are generally more robust than summer and autumnal variants from West and Central Europe. No taxonomic value can be given to this difference, however. 2) Mr J. C. Donadini affirmed in a letter that I. pisciodora cannot be considered an autonomous species, but is only an infraspecific taxon of I. bongardii. 3) Although nothing is known about the composition of the olfactory substances of var. bongardii and var. pisciodora, I consider it very likely that they are chemically much related. Young specimens of var. pisciodora often possess a mixture of a Pelargonium-smell and a smell of overripe pears. Both smells can also be observed in I. calamistrata (Fr. : Fr.) Gillet.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 41-42",,,,
borealis M. Lange,Goniospora,Nodulose | Angular,Subconical | Conical,[7.2-10],[5-6.9],[1.3-1.9],Sometimes with a strongly protruding apical nodule,Claviform,[24-40],[9-13],[2-4],Yes,Lageniform | Cylindrical | Fusiform | Metuloid,n/a,n/a,Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Lageniform | Cylindrical | Fusiform | Metuloid,[41-89],[12-26],Yes | No,[2.5-3],n/a,Yes,Lageniform | Cylindrical | Fusiform | Metuloid,n/a,n/a,Yes | No,[1-2],n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,n/a,Sandy soil,Spruce | Fir | Birch,[13-45],[13-45],Equal | Widening slightly downwards,n/a,n/a,Acidulous | Spermatic | Not distinctive,Clypeus,,,"Inocybe borealis is a variable species in many aspects. Our identifications of boreal collections, a subarctic collection, and I. heterochrominea are primarily based on ITS and LSU sequences, because the spores diverged so much from the I. borealis type. They were consistently smaller (except in KK141/03), paler, and more strongly nodulose. The Nordic ITS sequences were identical with the type sequence of I. borealis in two specimens (KK190/08 - GenBank JN580813, KK&JV27051F - JN580814), or deviated from the type by one gap (JV9244 - JN580815), by one common base in nine specimens (KK&JV26120F - JN580816), by one other base in JV15250F (JN580817), by one base and a gap of 12 bases (KK141/03 - JN580818), or by two bases (Heinonen 307-95 - JN580819). The I. heterochrominea type deviated from the I. borealis type by one base and a gap of one base, when 42 bases were lacking in the middle of the I. heterochrominea sequence and three loci with ambiguous bases were ignored. The LSU sequences of the type of I. borealis and a collection with one different base in ITS (KK&JV26120F - JN580889) diverged by one base as well. An arctic collection from Svalbard (Online Resource Fig. S3) resembled the Greenland type in its spores, the presence of velipellis (absent in the other collections), and identical ITS (in the phylogram, JN580820). These specimens thus seem to form their own group. They both also have dark brown pilei seemingly unlike most boreal collections (the colours may have changed in exsiccata). Still, the two boreal collections with the type ITS also have dark brown pilei (Online Resource Fig. S2), but in spores they resemble other boreal specimens rather than the type; thus forming an intermediate group. Overall, the strength of nodularity varies rather much among the boreal specimens, and rarely the spores are elongated (KK141/03) as in the type of Inocybe borealis. We were unable to find more distinct morphological boundaries between the specimens differing in ITS or between arctic and boreal/subarctic collections, and thus we tentatively determine them all to be the same very variable species. The observed morphological differences may have been caused by environment, or may be genetically intraspecific. The amount of velipellis, for example, often varies within species and seems to increase in arctic and alpine environments. The microscopic and macroscopic features of Inocybe heterochrominea agreed with our Nordic collections of I. borealis. Accordingly, we have reduced it to a synonym. The walls of the cystidia of the I. heterochrominea holotype (a piece of a pileus) seemed thinner than in the drawings of Grund and Stuntz (1983), and the spores did not seem quite as strongly nodulose. I. heterochrominea was described from mixed and conifer forests of Michigan, Nova Scotia, and Washington. In Finland, I. borealis grows in various habitats, and we assume Betula to be one host. Lange (1957) did not mention any plant species from the type site, but he described the vegetation and fungi of the northern slopes, for example, stating that Betula nana was the dominant shrub and Salix glauca was scattered. Inocybe acutoides is a closely related sibling species associated with Salix. See our comments regarding I. acutoides, and the diagnostic key.","Kokkonen, Katri; Vauras, Jukka. Eleven new boreal species of Inocybe with nodulose spores, Mycol Progress (2012) 11:299-341; p. 309-312",,,,
"boreocarelica Kokkonen & Vauras, sp. nov.",Goniospora,Strongly nodulose,Subconical | Conical,[7-10.1],[5-7.5],[1.2-1.7],Nodules usually small,Claviform,[24-38],[8-12],[4-4],Yes,Lageniform | Ellipsoid | Metuloid,n/a,n/a,Yes | No,n/a,n/a,Yes,n/a,n/a,n/a,Yes,Lageniform | Metuloid,[45-82],[11-26],Yes,[2-4],n/a,Yes,Lageniform | Fusuform | Cylindrical | Claviform | Metuloid,n/a,n/a,Yes | No,[1-2],n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,n/a,Soil,Spruce | Birch | Alder | Heath forest mainly,[14-35],[14-35],Tapering | Roundish,n/a,n/a,Acidulous | Not distinctive,Clypeus,,,"Inocybe boreocarelica may be difficult to identify, but it is characterised by its reddish brown, flocculose stipe and rather small spores. It may resemble I. borealis both in morphology and habitat. Both sometimes have a yellow brown pileus cracked into scales at umbo, as observed in an old cemetery (Pitkamaki, Nurmes) where they grow near each other. However, the cystidial walls of I. boreocarelica are often distinctly thickened in the neck. Inocybe boreocarelica also resembles I. bufonia microscopically, but the spores of I. bufonia are more often elongated. I. bufonia differs more distinctly in its darker appearance and moister habitat. The ITS sequence of the Norwegian specimen deviated from the others by one base (GenBank JN580835).","Kokkonen, Katri; Vauras, Jukka. Eleven new boreal species of Inocybe with nodulose spores, Mycol Progress (2012) 11:299-341; p. 314-315",,,,
